CrashID,State,Day,Month,Year,Hour,Minute,Crash_Type,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Articulated_Truck_Involvement,Speed_Limit,Road_User,Gender,Age
1201601230018,NSW,23,1,2016,16,5,Pedestrian,No,No,No,50,Pedestrian,Male,14
2201601230011,VIC,23,1,2016,21,45,Single,No,No,No,100,Passenger,Male,15
3201601240016,QLD,24,1,2016,8,0,Multiple,No,No,No,100,Motorcycle rider,Male,73
5201601240013,WA,24,1,2016,19,53,Single,No,No,No,80,Motorcycle rider,Male,30
3201601250017,QLD,25,1,2016,8,0,Pedestrian,No,No,No,60,Pedestrian,Male,78
1201601250019,NSW,25,1,2016,12,8,Pedestrian,No,No,No,50,Pedestrian,Female,92
3201601250018,QLD,25,1,2016,16,0,Pedestrian,No,No,No,60,Pedestrian,Male,77
1201601250020,NSW,25,1,2016,18,5,Pedestrian,No,No,No,40,Pedestrian,Female,63
1201601260021,NSW,26,1,2016,12,39,Multiple,No,No,No,100,Driver,Male,57
1201601260021,NSW,26,1,2016,12,39,Multiple,No,No,No,100,Passenger,Male,88
2201601260012,VIC,26,1,2016,12,0,Single,No,No,No,100,Passenger,Male,17
3201601260019,QLD,26,1,2016,18,0,Multiple,No,No,No,60,Motorcycle rider,Male,24
2201601260013,VIC,26,1,2016,22,40,Single,No,No,No,100,Passenger,Female,28
3201601260020,QLD,26,1,2016,22,0,Single,No,No,No,100,Driver,Male,64
2201601270014,VIC,27,1,2016,1,30,Multiple,No,No,No,100,Passenger,Female,18
2201601270014,VIC,27,1,2016,1,30,Multiple,No,No,No,100,Driver,Male,19
1201601270022,NSW,27,1,2016,4,25,Multiple,No,No,Yes,80,Driver,Male,40
5201601270014,WA,27,1,2016,5,0,Single,No,No,No,110,Driver,Male,42
5201601270015,WA,27,1,2016,8,1,Single,No,No,No,110,Passenger,Male,27
2201601270015,VIC,27,1,2016,12,5,Multiple,No,No,No,60,Motorcycle rider,Male,27
2201601270016,VIC,27,1,2016,13,10,Multiple,No,No,No,100,Passenger,Female,57
2201601270016,VIC,27,1,2016,13,10,Multiple,No,No,No,100,Driver,Male,64
3201601270021,QLD,27,1,2016,14,0,Single,No,Yes,No,80,Driver,Male,28
1201601280023,NSW,28,1,2016,11,25,Pedestrian,No,No,No,60,Pedestrian,Female,90
6201601280006,TAS,28,1,2016,12,59,Multiple,No,Yes,No,100,Driver,Male,74
2201601280017,VIC,28,1,2016,14,48,Multiple,No,No,No,90,Driver,Female,22
2201601280018,VIC,28,1,2016,14,35,Multiple,No,No,Yes,100,Motorcycle rider,Male,41
7201601280003,NT,28,1,2016,20,35,Multiple,No,No,No,110,Passenger,Male,24
2201601290019,VIC,29,1,2016,11,20,Single,No,No,No,100,Driver,Male,54
3201601290022,QLD,29,1,2016,14,0,Single,No,No,No,100,Motorcycle rider,Female,58
